Duration	protocol_type	service	flag	src_bytes	dst_bytes	land	wrong_fragment	urgent	hot	num_failed_logins	logged_in	num_compromised	root_shell	su_attempted	num_root	num_file_creations	num_shells	num_access_files	num_outbound_cmds	is_host_login	is_guest_login	count	srv_count	serror_rate	srv_serror_rate	rerror_rate	srv_rerror_rate	same_srv_rate	diff_srv_rate	srv_diff_host_rate	dst_host_count	dst_host_srv_count	dst_host_same_srv_rate	dst_host_diff_srv_rate	dst_host_same_src_port_rate	dst_host_srv_diff_host_rate	dst_host_serror_rate	dst_host_srv_serror_rate	dst_host_rerror_rate	dst_host_srv_rerror_rate	Classification	xAttack	xprotocol_type	xservice	xflag
0	1	20	2	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	150	25	0.17	0.03	0.17	0	0	0	0.05	0	normal	5	1	20	2
0	3	45	2	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	0	0	0	0	0.08	0.15	0	255	1	0	0.6	0.88	0	0	0	0	0	normal	5	3	45	2
0	1	50	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	6	1	1	0	0	0.05	0.07	0	255	26	0.1	0.05	0	0	1	1	0	0	neptune	1	1	50	4
0	1	25	2	232	8153	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	5	0.2	0.2	0	0	1	0	0	30	255	1	0	0.03	0.04	0.03	0.01	0	0.01	normal	5	1	25	2
0	1	25	2	199	420	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	30	32	0	0	0	0	1	0	0.09	255	255	1	0	0	0	0	0	0	0	normal	5	1	25	2
0	1	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	19	0	0	1	1	0.16	0.06	0	255	19	0.07	0.07	0	0	0	0	1	1	neptune	1	1	50	1
0	1	50	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	9	1	1	0	0	0.05	0.06	0	255	9	0.04	0.05	0	0	1	1	0	0	neptune	1	1	50	4
0	1	50	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	16	1	1	0	0	0.14	0.06	0	255	15	0.06	0.07	0	0	1	1	0	0	neptune	1	1	50	4
0	1	52	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	23	1	1	0	0	0.09	0.05	0	255	23	0.09	0.05	0	0	1	1	0	0	neptune	1	1	52	4
0	1	50	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	8	1	1	0	0	0.06	0.06	0	255	13	0.05	0.06	0	0	1	1	0	0	neptune	1	1	50	4
0	1	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	12	0	0	1	1	0.06	0.06	0	255	12	0.05	0.07	0	0	0	0	1	1	neptune	1	1	50	1
0	1	50	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	3	1	1	0	0	0.02	0.06	0	255	13	0.05	0.07	0	0	1	1	0	0	neptune	1	1	50	4
0	1	25	2	287	2251	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	1	0	0.43	8	219	1	0	0.12	0.03	0	0	0	0	normal	5	1	25	2
0	1	20	2	334	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	2	20	1	0	1	0.2	0	0	0	0	warezclient	3	1	20	2
0	1	37	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	1	1	1	0	0	0	0.06	0	255	1	0	0.07	0	0	1	1	0	0	neptune	1	1	37	4
0	1	39	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	16	1	1	0	0	0.17	0.05	0	255	2	0.01	0.06	0	0	1	1	0	0	neptune	1	1	39	4
0	1	25	2	300	13788	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	9	0	0.11	0	0	1	0	0.22	91	255	1	0	0.01	0.02	0	0	0	0	normal	5	1	25	2
0	2	15	2	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	16	1	0	1	1	0	0	0	0	ipsweep	4	2	15	2
0	1	25	2	233	616	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	1	0	0	66	255	1	0	0.02	0.03	0	0	0.02	0	normal	5	1	25	2
0	1	25	2	343	1178	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	1	0	0.2	157	255	1	0	0.01	0.04	0	0	0	0	normal	5	1	25	2
0	1	36	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	23	1	1	0	0	0.1	0.05	0	255	23	0.09	0.05	0	0	1	1	0	0	neptune	1	1	36	4
0	1	50	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	17	1	1	0	0	0.06	0.05	0	238	17	0.07	0.06	0	0	0.99	1	0	0	neptune	1	1	50	4
0	1	25	2	253	11905	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	1	0	0.2	87	255	1	0	0.01	0.02	0	0	0	0	normal	5	1	25	2
5607	3	45	2	147	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	255	1	0	0.85	1	0	0	0	0	0	normal	5	3	45	2
0	1	36	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	2	1	1	0	0	0.01	0.06	0	255	2	0.01	0.06	0	0	1	1	0	0	neptune	1	1	36	4
507	1	61	2	437	14421	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	255	25	0.1	0.05	0	0	0.53	0	0.02	0.16	normal	5	1	61	2
0	1	50	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	7	1	1	0	0	0.03	0.06	0	255	13	0.05	0.07	0	0	1	1	0	0	neptune	1	1	50	4
0	1	25	2	227	6588	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	22	0	0	0	0	1	0	0.18	43	255	1	0	0.02	0.14	0	0	0.56	0.57	normal	5	1	25	2
0	1	25	2	215	10499	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	1	0	0	255	255	1	0	0	0	0	0	0	0	normal	5	1	25	2
0	1	25	2	241	1400	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	33	33	0	0	0.03	0.03	1	0	0	255	255	1	0	0	0	0	0	0	0	normal	5	1	25	2
0	2	15	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	1	0	1	1	53	1	0	1	0.51	0	0	0	0	ipsweep	4	2	15	2
0	1	19	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	16	1	1	0	0	0.28	0.07	0	255	59	0.23	0.04	0.01	0	1	1	0	0	neptune	1	1	19	4
0	1	25	2	303	555	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	1	0	0	9	255	1	0	0.11	0.01	0	0	0	0	normal	5	1	25	2
0	1	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	1	0.5	1	0	255	1	0	0.31	0.28	0	0	0	0.29	1	portsweep	4	1	50	1
0	3	12	2	45	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	181	0	0	0	0	1	0	0	255	250	0.98	0.01	0	0	0	0	0	0	normal	5	3	12	2
1	3	50	2	105	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	41	5	0.12	0.05	0.05	0	0	0	0	0	normal	5	3	50	2
0	3	12	2	43	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	202	0	0	0	0	1	0	0.01	255	255	1	0	0.01	0	0	0	0	0	normal	5	3	12	2
0	1	59	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	17	1	1	0	0	0.08	0.06	0	255	17	0.07	0.07	0	0	1	1	0	0	neptune	1	1	59	4
0	1	25	2	324	2302	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	22	28	0	0	0	0	1	0	0.14	255	255	1	0	0	0	0	0	0	0	normal	5	1	25	2
