@relation 'KDDTest21Probe-weka.filters.unsupervised.attribute.Remove-R4-8,10-19,23'
@attribute 'duration'  real
@attribute 'src_bytes'  real
@attribute 'dst_bytes'  real
@attribute 'logged_in' {0,1}
@attribute 'count'  real
@attribute 'srv_count'  real
@attribute 'serror_rate'  real
@attribute 'rerror_rate'  real
@attribute 'srv_rerror_rate'  real
@attribute 'same_srv_rate'  real
@attribute 'diff_srv_rate'  real
@attribute 'srv_diff_host_rate'  real
@attribute 'dst_host_count'  real
@attribute 'dst_host_srv_count'  real
@attribute 'dst_host_same_srv_rate'  real
@attribute 'dst_host_diff_srv_rate'  real
@attribute 'dst_host_same_src_port_rate'  real
@attribute 'dst_host_srv_diff_host_rate'  real
@attribute 'dst_host_serror_rate'  real
@attribute 'dst_host_srv_serror_rate'  real
@attribute 'dst_host_rerror_rate'  real
@attribute 'dst_host_srv_rerror_rate'  real
@attribute 'protocol_type' {1,2,3}
@attribute 'service' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70}
@attribute 'flag' {1,2,3,4,5,6,7,8,9,10,11}
@attribute 'xAttack' {0,1}
@data
0,53,55,0,511,511,0,0,0,1,0,0,255,255,1,0,0.87,0,0,0,0,0,3,50,2,0
0,0,0,0,1,1,1,0,0,1,0,0,16,1,0.06,1,1,0,1,1,0,0,1,50,6,1
0,56,52,0,294,294,0,0,0,1,0,0,255,255,1,0,0.93,0,0,0,0,0,3,50,2,0
0,192,0,0,2,2,0,0,0,1,0,0,93,51,0.09,0.04,0.09,0.04,0,0,0.01,0,1,20,2,0
0,0,0,0,511,1,0.14,0.86,1,0,1,0,255,1,0,0.94,0,0,0.13,0,0.87,1,1,45,1,1
0,0,0,0,490,1,0.07,0.93,1,0,1,0,255,1,0,1,0,0,0.07,0,0.93,1,1,45,1,1
0,21,97,0,4,14,0,0.75,0.57,0.5,0.75,0.93,255,40,0.16,0.02,0,0,0,0,0.24,0.5,1,61,2,1
0,0,0,0,2,9,0,1,0.89,0.5,1,1,64,59,0.25,0.08,0.02,0.03,0,0,0.88,1,1,29,1,1
0,1,1,0,78,1,0,0,0,0.01,0.96,0,255,1,0,0.69,0.99,0,0,0,0.01,0,3,50,2,1
0,1,1,0,400,1,0,0,0,0,1,0,255,1,0,1,1,0,0,0,0,0,3,45,2,1
0,43,43,0,166,166,0,0,0,1,0,0,255,239,0.94,0.01,0.25,0,0,0,0,0,3,12,2,0
0,8,0,0,1,31,0,0,0,1,0,1,1,48,1,0,1,0.52,0,0,0,0,2,15,2,1
0,44,44,0,172,172,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,3,12,2,0
0,105,146,0,1,1,0,0,0,1,0,0,138,137,0.99,0.01,0.01,0,0,0,0,0,3,50,2,0
0,16787,0,0,9,10,0,0,0,1,0,0.2,255,19,0.07,0.02,0.07,0,0,0,0.13,0,1,20,2,0
0,0,83,1,1,1,0,0,0,1,0,0,108,192,0.76,0.04,0.01,0.01,0,0,0.01,0.02,1,55,2,0
0,45,81,0,353,353,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,3,12,2,0
0,0,0,0,1,2,1,0,0,1,0,1,60,86,0.33,0.05,0.02,0.03,1,1,0,0,1,29,4,1
0,0,0,0,508,1,0.04,0.96,1,0,1,0,255,1,0,1,0,0,0.03,0,0.97,1,1,45,1,1
0,1,1,0,19,1,0,0,0,0.05,0.63,0,255,1,0,0.66,0.94,0,0,0,0.06,0,3,50,2,1
3,2194619,0,0,2,2,0,0,0,1,0,0,255,125,0.49,0.02,0.49,0,0,0,0,0,1,20,2,0
0,0,36,1,3,3,0,1,0.67,0.33,1,1,102,51,0.25,0.05,0.01,0.04,0,0,0.89,1,1,48,3,1
2,35,130,1,1,1,0,0,0,1,0,0,148,4,0.03,0.03,0.01,0,0,0,0,0,1,48,2,0
0,20,0,0,1,51,0,0,0,1,0,1,4,70,1,0,1,0.27,0,0,0,0,2,15,2,1
0,45,114,0,2,5,0,0,0,1,0,0.4,255,233,0.91,0.01,0,0,0,0,0.05,0,3,12,2,0
0,7,225,0,1,1,0,0,0,1,0,0,1,12,1,0,1,0.17,0,0,0,0,1,19,2,0
0,52,53,0,508,508,0,0,0,1,0,0,255,255,1,0,0.99,0,0,0,0,0,3,50,2,0
0,0,0,0,511,1,0.15,0.85,1,0,1,0,255,1,0,0.94,0,0,0.13,0,0.87,1,1,45,1,1
0,0,15,0,1,7,0,1,0.57,1,0,0.57,146,88,0.31,0.03,0.01,0.02,0,0,0.91,0.62,1,61,3,1
0,45,138,0,98,178,0,0,0,0.99,0.02,0.01,255,254,1,0.01,0,0,0,0,0,0,3,12,2,0
0,0,0,0,3,1,0,0.67,1,0.33,1,0,255,44,0.17,0.02,0,0,0,0,0.79,1,1,58,1,1
0,1,0,0,23,21,0,0,0,0.91,0.09,0,255,21,0.08,0.58,0.95,0,0.01,0,0.03,0,3,50,2,0
0,229,489,1,2,2,0.5,0,0,1,0,0,87,177,1,0,0.01,0.03,0.01,0.01,0,0,1,25,2,0
0,56,57,0,491,491,0,0,0,1,0,0,255,255,1,0,1,0,0,0,0,0,3,50,2,0
0,0,44,0,2,2,0,1,1,0.5,1,1,190,60,0.25,0.03,0.01,0.03,0.03,0,0.91,0.78,1,29,3,1
0,0,0,0,511,1,0.15,0.85,1,0,1,0,255,1,0,0.94,0,0,0.15,0,0.85,1,1,45,1,1
0,335,282,1,12,12,0,0,0,1,0,0,255,225,0.88,0.02,0,0,0,0,0.07,0,1,25,2,0
0,28,0,0,71,71,0,0,0,1,0,0,96,71,0.74,0.04,0.74,0,0,0,0,0,3,50,2,0
0,0,0,0,482,1,0.05,0.95,1,0,1,0,255,1,0,1,0,0,0.07,0,0.93,1,1,45,1,1
3,0,44,0,2,14,0,1,1,0.5,1,1,255,15,0.06,0.03,0,0,0,0,0.2,0.87,1,29,3,1
0,301,2507,1,1,1,0,0,0,1,0,0,255,229,0.9,0.01,0,0,0,0,0.03,0,1,25,2,0
0,0,0,0,2,11,0,1,1,0.5,1,1,226,14,0.05,0.03,0,0.14,0,0,0.18,1,1,29,1,1
0,345,6256,1,3,3,0.33,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1,25,2,0
0,44,44,0,115,115,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,3,12,2,0
0,0,0,0,388,1,0.08,0.91,1,0,1,0,255,1,0,1,0,0,0.05,0,0.93,1,1,50,1,1
0,45,114,0,2,4,0,0,0,1,0,0.5,255,225,0.88,0.01,0,0,0,0,0.04,0,3,12,2,0
0,1,1,0,127,1,0,0,0,0.01,0.69,0,255,1,0,0.53,0.87,0,0,0,0.13,0,3,50,2,1
2,0,15,0,1,7,0,1,0.57,1,0,0.57,173,86,0.34,0.03,0.01,0.02,0,0,0.89,0.7,1,61,3,1
0,0,0,0,1,1,0,1,1,1,0,0,255,1,0,0.88,0.86,0,0,0,0.86,1,1,50,5,1
0,1050,391,1,1,4,0,0,0,1,0,1,255,14,0.05,0.78,0,0,0,0,0.75,0,1,55,2,0
0,44,44,0,4,7,0,0,0,1,0,0.29,255,234,0.92,0.01,0.01,0,0,0,0.04,0,3,12,2,0
0,0,0,0,398,1,0.18,0.82,0,0,1,0,255,1,0,0.91,0,0,0.17,1,0.83,0,1,45,4,1
0,0,0,0,2,21,0,1,1,0.5,1,1,68,56,0.28,0.07,0.01,0.04,0,0,0.94,0.34,1,29,1,1
0,337,103,1,1,1,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1,25,2,0
0,0,0,0,511,1,0.04,0.96,1,0,1,0,255,1,0,1,0,0,0.05,0,0.95,1,1,45,1,1
0,47,44,0,162,162,0,0,0,1,0,0,255,255,1,0,0.63,0,0,0,0,0,3,50,2,0
0,1,0,0,510,9,0,0,0,0.02,0.98,0,255,9,0.04,0.97,1,0,0,0,0,0,3,50,2,0
0,44,74,0,363,363,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,3,12,2,0
0,0,44,0,2,2,0,1,1,0.5,1,1,255,35,0.14,0.03,0,0,0,0,0.47,0.89,1,29,3,1
0,0,0,0,2,20,0,1,0.95,0.5,1,1,27,53,0.26,0.19,0.04,0.04,0,0,0.89,0.13,1,29,1,1
0,18,0,0,1,1,0,0,0,1,0,0,1,110,1,0,1,1,0,0,0,0,2,15,2,1
0,687,0,0,1,1,0,0,0,1,0,0,6,1,0.17,0.5,0.17,0,0,0,0,0,1,20,2,0
0,44,112,0,1,2,0,0,0,1,0,1,255,243,0.95,0.01,0,0,0,0,0.03,0,3,12,2,0
0,45,128,0,143,223,0,0,0,1,0,0.01,255,255,1,0,0,0,0,0,0,0,3,12,2,0
0,305,2507,1,4,4,0,0,0,1,0,0,255,255,1,0,0,0,0.84,0.84,0.11,0.11,1,25,2,0
7,0,44,0,1,9,0,1,1,1,0,1,251,6,0.02,0.03,0,0.33,0,0,0.06,1,1,29,3,1
0,1,1,0,81,1,0,0,0,0.01,1,0,255,1,0,1,1,0,0,0,0,0,3,45,2,1
0,0,0,0,511,1,0.07,0.93,1,0,1,0,255,1,0,1,0,0,0.06,0,0.94,1,1,45,1,1
0,45,128,0,103,183,0,0,0,1,0,0.01,255,255,1,0,0,0,0,0,0,0,3,12,2,0
5,0,0,0,2,2,0,0.5,0.5,0.5,1,1,41,57,0.2,0.12,0.02,0.04,0,0.02,0.17,0.84,1,29,2,1
0,44,81,0,128,128,0,0,0,1,0,0,255,255,1,0,0.01,0,0,0,0,0,3,12,2,0
0,5,0,0,1,1,0,0,0,1,0,0,255,21,0.08,0.02,0.08,0,0,0,0,0,3,45,2,1
0,8,0,0,1,10,0,0,0,1,0,1,1,65,1,0,1,0.51,0,0,0,0,2,15,2,1
0,1,1,0,29,1,0,0,0,0.03,0.97,0,255,1,0,0.98,0.12,0,0.11,0,0.76,0,3,50,2,1
0,0,0,0,1,1,1,0,0,1,0,0,168,1,0.01,0.99,0.99,0,0.99,1,0,0,1,50,6,1
0,40008,0,0,3,3,0,0,0,1,0,0,102,102,1,0,1,0,0,0,0,0,2,16,2,0
0,0,0,0,1,1,1,0,0,1,0,0,147,1,0.01,0.99,0.99,0,0.99,1,0,0,1,50,6,1
0,44,44,0,105,105,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,3,12,2,0
0,0,44,0,3,1,0,1,1,0.33,1,0,105,59,0.27,0.05,0.01,0.03,0.06,0,0.87,1,1,29,3,1
0,49,46,0,505,505,0,0,0,1,0,0,255,255,1,0,1,0,0,0,0,0,3,50,2,0
0,0,15,0,1,3,0,1,0.67,1,0,0.67,255,58,0.23,0.02,0,0,0,0,0.62,0.74,1,61,3,1
0,0,0,0,1,4,0,1,0.75,1,0,0.75,172,85,0.33,0.03,0.01,0.02,0,0,0.88,0.66,1,61,1,1
0,0,0,0,1,1,1,0,0,1,0,0,197,1,0.01,1,1,0,1,1,0,0,1,50,6,1
0,8,0,0,1,12,0,0,0,1,0,1,1,18,1,0,1,0.56,0,0,0,0,2,15,2,1
0,0,0,0,1,9,1,0,0.44,1,0,0.56,160,85,0.34,0.02,0.01,0.02,1,1,0,0,1,61,4,1
0,18,0,0,1,1,0,0,0,1,0,0,1,117,1,0,1,1,0,0,0,0,2,15,2,1
0,10,0,0,1,1,0,0,0,1,0,0,255,1,0,0.06,0,0,0,0,0.98,0,1,19,2,0
0,0,3,0,1,24,0,1,0.79,1,0,0.83,255,10,0.04,0.73,0,0,0,0,0.05,0.5,1,61,3,1
0,0,0,0,414,1,0.06,0.93,1,0,1,0,255,1,0,1,0,0,0.04,0,0.94,1,1,50,1,1
3,0,0,0,173,2,0,1,1,0.01,0.54,0,181,2,0.01,0.51,0.96,0,0,0,0.96,1,1,50,3,0
0,45,76,0,316,316,0,0,0,1,0,0,243,220,0.91,0.01,0,0,0,0,0,0,3,12,2,0
0,105,146,0,1,1,0,0,0,1,0,0,190,188,0.99,0.01,0.01,0,0,0,0,0,3,50,2,0
0,1,1,0,12,2,0,0,0,0.17,0.42,0,255,2,0.01,0.29,1,0,0,0,0,0,3,50,2,1
0,44,44,0,151,151,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,3,12,2,0
0,42,138,0,136,207,0,0,0,0.99,0.01,0.01,255,254,1,0.01,0,0,0,0,0,0,3,12,2,0
6,0,0,0,511,1,0.05,0.95,1,0,1,0,255,1,0,1,0,0,0.07,0,0.93,1,1,45,1,1
0,55,50,0,293,293,0,0,0,1,0,0,255,255,1,0,0.99,0,0,0,0,0,3,50,2,0
0,54,52,0,427,427,0,0,0,1,0,0,255,255,1,0,0.96,0,0,0,0,0,3,50,2,0
8,24,109,0,4,7,0,0.75,0.43,0.5,0.75,0.57,75,85,0.33,0.07,0.01,0.02,0,0,0.91,0.71,1,61,2,1
0,1,1,0,25,1,0,0,0,0.04,0.96,0,255,1,0,0.71,0.98,0,0,0,0.02,0,3,50,2,1
0,0,0,0,509,1,0.14,0.86,1,0,1,0,255,1,0,0.98,0,0,0.12,0,0.88,1,1,45,1,1
0,45,141,0,94,157,0,0,0,0.99,0.02,0.01,255,255,1,0,0,0,0,0,0,0,3,12,2,0
0,45,45,0,2,3,0,0,0,1,0,0.67,255,224,0.88,0.01,0.01,0,0,0,0.07,0,3,12,2,0
0,45,45,0,132,210,0,0,0,1,0,0.01,255,224,0.88,0.01,0.01,0,0,0,0,0,3,12,2,0
0,46,43,0,13,13,0,0,0,1,0,0,255,254,1,0.01,0.05,0,0,0,0,0,3,50,2,0
0,44,75,0,206,206,0,0,0,1,0,0,255,255,1,0,0.01,0,0,0,0,0,3,12,2,0
0,44,44,0,2,4,0,0,0,1,0,0.5,255,236,0.93,0.01,0.01,0,0,0,0.04,0,3,12,2,0
0,55,52,0,481,481,0,0,0,1,0,0,255,255,1,0,0.94,0,0,0,0,0,3,50,2,0
0,859,388,1,1,1,0,0,0,1,0,0,255,15,0.06,0.88,0,0,0,0,0.87,0,1,55,2,0
0,45,76,0,333,333,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,3,12,2,0
0,0,0,0,511,1,0.15,0.85,1,0,1,0,255,1,0,0.99,0,0,0.13,0,0.87,1,1,45,1,1
0,1,1,0,6,2,0,0,0,0.33,0.5,0,255,2,0.01,0.97,0.02,0,0.06,0,0.89,0,3,50,2,0
0,0,0,0,431,1,0.06,0.94,0,0,1,0,255,1,0,1,0,0,0.05,1,0.95,0,1,45,4,1
182,334,284,1,2,2,0,0,0,1,0,0,255,144,0.56,0.36,0,0,0.01,0,0.4,0.01,1,25,2,0
0,44,71,0,218,217,0,0,0,1,0.01,0,255,254,1,0.01,0.01,0,0,0,0,0,3,12,2,0
0,0,0,0,472,1,0.06,0.94,1,0,1,0,255,1,0,1,0,0,0.05,0,0.95,1,1,45,1,1
0,0,0,0,105,1,0.02,0.98,1,0.01,0.88,0,114,1,0.01,0.82,0.92,0,0.02,0,0.9,1,1,50,1,1
0,43,43,0,225,225,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,3,12,2,0
0,8,0,0,1,24,0,0,0,1,0,1,2,29,1,0,1,0.52,0,0,0,0,2,15,2,1
0,0,0,0,1,7,0,1,1,1,0,1,255,17,0.07,0.03,0,0,0,0,0.37,1,1,58,1,1
0,0,0,0,494,1,0.03,0.97,1,0,1,0,255,1,0,1,0,0,0,0,1,1,1,45,1,1
1,78162,174,1,3,3,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1,25,2,0
0,0,0,0,462,1,0.06,0.94,1,0,1,0,255,1,0,1,0,0,0.12,0,0.88,1,1,45,1,1
0,0,83,1,2,2,0,0,0,1,0,0,255,192,0.75,0.02,0.01,0,0,0,0.01,0.02,1,55,2,0
0,0,0,0,1,1,1,0,0,1,0,0,164,3,0.01,1,1,0.67,1,1,0,0,1,12,6,1
0,45,143,0,137,217,0,0,0,1,0,0.01,255,255,1,0,0,0,0,0,0,0,3,12,2,0
3,0,15,0,1,6,0,1,0.33,1,0,0.67,89,85,0.34,0.06,0.01,0.02,0.02,0,0.85,0.69,1,61,3,1
0,0,0,0,4,4,0,1,1,0.25,1,1,30,51,0.17,0.17,0.03,0.04,0,0,0.87,1,1,58,1,1
0,0,0,0,1,1,0,1,1,1,0,0,255,1,0,0.47,0.46,0,0.12,0,0.46,1,1,50,5,1
1,55,170,0,1,1,0,0,0,1,0,0,138,14,0.1,0.06,0.01,0,0,0,0,0,1,20,2,0
0,0,0,0,509,1,0.02,0.98,1,0,1,0,255,1,0,1,0,0,0.05,0,0.95,1,1,45,1,1
