@relation 'KDDTest21R2L-weka.filters.unsupervised.attribute.Remove-R5-6,10,12-18,22-26,37-38'
@attribute 'duration'  real
@attribute 'src_bytes'  real
@attribute 'dst_bytes'  real
@attribute 'land' {0,1}
@attribute 'hot' real
@attribute 'num_failed_logins'  real
@attribute 'logged_in' {0,1}
@attribute 'root_shell'  real
@attribute 'is_guest_login' {0,1}
@attribute 'count'  real
@attribute 'srv_count'  real
@attribute 'diff_srv_rate'  real
@attribute 'srv_diff_host_rate'  real
@attribute 'dst_host_count'  real
@attribute 'dst_host_srv_count'  real
@attribute 'dst_host_same_srv_rate'  real
@attribute 'dst_host_diff_srv_rate'  real
@attribute 'dst_host_same_src_port_rate'  real
@attribute 'dst_host_srv_diff_host_rate'  real
@attribute 'dst_host_serror_rate'  real
@attribute 'dst_host_srv_serror_rate'  real
@attribute 'protocol_type' {1,2,3}
@attribute 'service' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70}
@attribute 'flag' {1,2,3,4,5,6,7,8,9,10,11}
@attribute 'xAttack' {0,1}
@data
13,118,2425,0,0,0,1,0,0,1,1,0,0,26,10,0.38,0.12,0.04,0,0,0,1,61,2,1
0,44,0,0,0,0,0,0,0,4,3,0.5,0,255,254,1,0.01,0.01,0,0,0,3,50,2,1
0,53,55,0,0,0,0,0,0,511,511,0,0,255,255,1,0,0.87,0,0,0,3,50,2,0
0,56,52,0,0,0,0,0,0,294,294,0,0,255,255,1,0,0.93,0,0,0,3,50,2,0
0,192,0,0,0,0,0,0,0,2,2,0,0,93,51,0.09,0.04,0.09,0.04,0,0,1,20,2,0
0,45,0,0,0,0,0,0,0,4,4,0,0,255,254,1,0.01,0,0,0,0,3,50,2,1
10,27,93,0,0,0,1,0,0,1,1,0,0,255,214,0.84,0.02,0,0,0,0,1,48,2,1
0,42,0,0,0,0,0,0,0,3,3,0,0,255,252,0.99,0.01,0,0,0,0,3,50,2,1
282,156,593,0,2,0,1,0,1,1,1,0,0,84,46,0.55,0.05,0.01,0,0,0,1,20,2,1
0,43,43,0,0,0,0,0,0,166,166,0,0,255,239,0.94,0.01,0.25,0,0,0,3,12,2,0
5,32,93,0,0,0,1,0,0,1,1,0,0,15,16,1,0,0.07,0.12,0,0,1,48,2,1
0,44,44,0,0,0,0,0,0,172,172,0,0,255,255,1,0,0,0,0,0,3,12,2,0
0,105,146,0,0,0,0,0,0,1,1,0,0,138,137,0.99,0.01,0.01,0,0,0,3,50,2,0
0,16787,0,0,0,0,0,0,0,9,10,0,0.2,255,19,0.07,0.02,0.07,0,0,0,1,20,2,0
0,0,83,0,0,0,1,0,0,1,1,0,0,108,192,0.76,0.04,0.01,0.01,0,0,1,55,2,0
0,45,81,0,0,0,0,0,0,353,353,0,0,255,254,1,0.01,0,0,0,0,3,12,2,0
0,44,0,0,0,0,0,0,0,2,2,0,0,255,254,1,0.01,0,0,0,0,3,50,2,1
4,30,93,0,0,0,1,0,0,1,1,0,0,255,232,0.91,0.02,0,0,0,0,1,48,2,1
3,2194619,0,0,0,0,0,0,0,2,2,0,0,255,125,0.49,0.02,0.49,0,0,0,1,20,2,0
