@relation 'KDDTest21U2R-weka.filters.unsupervised.attribute.Remove-R2-3,5,8,12,15-18,20,22-28,31-32,34-38'
@attribute 'duration' real
@attribute 'land' {0,1}
@attribute 'urgent' real
@attribute 'hot' real
@attribute 'logged_in' {0,1}
@attribute 'num_compromised' real
@attribute 'root_shell' real
@attribute 'num_root' real
@attribute 'num_file_creations' real
@attribute 'is_guest_login' {0,1}
@attribute 'srv_count' real
@attribute 'dst_host_count' real
@attribute 'dst_host_srv_count' real
@attribute 'dst_host_same_src_port_rate' real
@attribute 'protocol_type' {1,2,3}
@attribute 'service' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70}
@attribute 'flag' {1,2,3,4,5,6,7,8,9,10,11}
@attribute 'xAttack' {0,1}
@data
0,0,0,0,0,0,0,0,0,0,511,255,255,0.87,3,50,2,0
0,0,0,0,0,0,0,0,0,0,294,255,255,0.93,3,50,2,0
0,0,0,0,0,0,0,0,0,0,2,93,51,0.09,1,20,2,0
0,0,0,0,0,0,0,0,0,0,2,66,11,0.02,1,45,2,1
0,0,0,0,0,0,0,0,0,0,166,255,239,0.25,3,12,2,0
0,0,0,0,0,0,0,0,0,0,172,255,255,0,3,12,2,0
0,0,0,0,0,0,0,0,0,0,1,138,137,0.01,3,50,2,0
0,0,0,0,0,0,0,0,0,0,10,255,19,0.07,1,20,2,0
0,0,0,0,1,0,0,0,0,0,1,108,192,0.01,1,55,2,0
0,0,0,0,0,0,0,0,0,0,353,255,254,0,3,12,2,0
3,0,0,0,0,0,0,0,0,0,2,255,125,0.49,1,20,2,0
2,0,0,0,1,0,0,0,0,0,1,148,4,0.01,1,48,2,0
0,0,0,0,0,0,0,0,0,0,5,255,233,0,3,12,2,0
0,0,0,0,0,0,0,0,0,0,1,1,12,1,1,19,2,0
0,0,0,0,0,0,0,0,0,0,508,255,255,0.99,3,50,2,0
0,0,0,0,0,0,0,0,0,0,178,255,254,0,3,12,2,0
0,0,0,0,0,0,0,0,0,0,1,255,18,0,1,45,1,1
0,0,0,0,0,0,0,0,0,0,21,255,21,0.95,3,50,2,0
0,0,0,0,1,0,0,0,0,0,2,87,177,0.01,1,25,2,0
0,0,0,0,0,0,0,0,0,0,491,255,255,1,3,50,2,0
0,0,0,0,0,0,0,0,0,0,2,255,28,0,1,45,2,1
0,0,0,0,1,0,0,0,0,0,12,255,225,0,1,25,2,0
0,0,0,0,0,0,0,0,0,0,71,96,71,0.74,3,50,2,0
0,0,0,0,1,0,0,0,0,0,1,255,229,0,1,25,2,0
0,0,0,0,1,0,0,0,0,0,3,255,255,0,1,25,2,0
0,0,0,0,0,0,0,0,0,0,115,255,255,0,3,12,2,0
0,0,0,0,0,0,0,0,0,0,1,255,8,0,1,45,1,1
0,0,0,0,0,0,0,0,0,0,4,255,225,0,3,12,2,0
0,0,0,0,1,0,0,0,0,0,4,255,14,0,1,55,2,0
0,0,0,0,0,0,0,0,0,0,7,255,234,0.01,3,12,2,0
0,0,0,0,1,0,0,0,0,0,1,255,255,0,1,25,2,0
0,0,0,0,0,0,0,0,0,0,1,255,4,0,1,45,1,1
0,0,0,0,0,0,0,0,0,0,162,255,255,0.63,3,50,2,0
0,0,0,0,0,0,0,0,0,0,9,255,9,1,3,50,2,0
0,0,0,0,0,0,0,0,0,0,363,255,254,0,3,12,2,0
