@relation 'KDDTrain20U2R-weka.filters.unsupervised.attribute.Remove-R2-3,5,8,12,15-18,20,22-28,31-32,34-38'
@attribute 'duration' real
@attribute 'land' {0,1}
@attribute 'urgent' real
@attribute 'hot' real
@attribute 'logged_in' {0,1}
@attribute 'num_compromised' real
@attribute 'root_shell' real
@attribute 'num_root' real
@attribute 'num_file_creations' real
@attribute 'is_guest_login' {0,1}
@attribute 'srv_count' real
@attribute 'dst_host_count' real
@attribute 'dst_host_srv_count' real
@attribute 'dst_host_same_src_port_rate' real
@attribute 'protocol_type' {1,2,3}
@attribute 'service' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70}
@attribute 'flag' {1,2,3,4,5,6,7,8,9,10,11}
@attribute 'xAttack' {0,1}
@data
0,0,0,0,0,0,0,0,0,0,2,150,25,0.17,1,20,2,0
0,0,0,0,0,0,0,0,0,0,1,255,1,0.88,3,45,2,0
0,0,0,0,1,0,0,0,0,0,5,30,255,0.03,1,25,2,0
0,0,0,0,1,0,0,0,0,0,32,255,255,0,1,25,2,0
0,0,0,0,1,0,0,0,0,0,7,8,219,0.12,1,25,2,0
0,0,0,0,1,0,0,0,0,0,9,91,255,0.01,1,25,2,0
0,0,0,0,1,0,0,0,0,0,3,66,255,0.02,1,25,2,0
0,0,0,0,1,0,0,0,0,0,10,157,255,0.01,1,25,2,0
0,0,0,0,1,0,0,0,0,0,10,87,255,0.01,1,25,2,0
5607,0,0,0,0,0,0,0,0,0,1,255,1,1,3,45,2,0
507,0,0,0,1,3,0,0,0,0,1,255,25,0,1,61,2,0
0,0,0,0,1,0,0,0,0,0,22,43,255,0.02,1,25,2,0
0,0,0,0,1,0,0,0,0,0,14,255,255,0,1,25,2,0
0,0,0,0,1,0,0,0,0,0,33,255,255,0,1,25,2,0
0,0,0,0,1,0,0,0,0,0,9,9,255,0.11,1,25,2,0
0,0,0,0,0,0,0,0,0,0,181,255,250,0,3,12,2,0
1,0,0,0,0,0,0,0,0,0,2,41,5,0.05,3,50,2,0
